url,img_url,name,price
https://www.glassesshop.com/eyeglasses/fz1278,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201810/5bbc50f66304b.jpg",Ezekiel - Burgundy,$29.95
https://www.glassesshop.com/eyeglasses/fz1270,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201812/5c26d172e6aa2.jpg",Genevieve - Cyan Tortoise,$34.95
https://www.glassesshop.com/eyeglasses/fz1269,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201810/5bbc509cca408.jpg",Genevieve - Purple Tortoise,$34.95
https://www.glassesshop.com/eyeglasses/fp1747,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201807/5b5fc22e9933f.jpg",Murphy - Tortoise,$39.95
https://www.glassesshop.com/eyeglasses/fm1243,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201805/5b05174513cea.jpg",Burke - Golden,$24.95
https://www.glassesshop.com/eyeglasses/fp1717,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201805/5b03bc6e7b94e.jpg",Jean - Red,$24.95
https://www.glassesshop.com/eyeglasses/fp1642,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201910/5db26823a6070.jpg",Isaiah - Blue,$19.95
https://www.glassesshop.com/eyeglasses/fp1568,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201803/5ab495a47a944.jpg",Cooksville - Tortoise,$24.95
https://www.glassesshop.com/eyeglasses/fp1438,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201711/59fd646d8b5e8.jpg",Prince - Tortoise,$19.95
https://www.glassesshop.com/eyeglasses/fz1087,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201710/59e01c443bff6.jpg",Mandy - Tortoise/Pink,$29.95
https://www.glassesshop.com/eyeglasses/fz1083,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201710/59e01c2604ce3.jpg",Nicole - Multicolor,"
                                        "
https://www.glassesshop.com/eyeglasses/fp1643,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201805/5afe7e88af2fc.jpg",Isaiah - Tortoise,$19.95
https://www.glassesshop.com/eyeglasses/fp1661,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201805/5af16009d7b28.jpg",Derrick - Black/Golden,$24.95
https://www.glassesshop.com/eyeglasses/fp1746,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201811/5bebc0387547c.jpg",Murphy - Black,$39.95
https://www.glassesshop.com/eyeglasses/fp1662,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201806/5b10dff1e3d4d.jpg",Earl - Black/Crystal,$19.95
https://www.glassesshop.com/eyeglasses/fp1504,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201712/5a2f936dd2b85.jpg",Joyce - Brown,$12.95
https://www.glassesshop.com/eyeglasses/fp1563,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201803/5ab494f1c1911.jpg",Thomasville - Crystal,$24.95
https://www.glassesshop.com/eyeglasses/fp0481,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201811/5bff5b8d6a000.jpg",Steven - Black/Crystal,"
                                        "
https://www.glassesshop.com/eyeglasses/sup0622,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201904/5cb69b5e59b5c.jpg",Wilker - Black,$29.95
https://www.glassesshop.com/eyeglasses/fp1112,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201710/59e55c87434bb.jpg",Hyannis - Tortoise,$29.95
https://www.glassesshop.com/eyeglasses/fp0989,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201808/5b873cb01adee.jpg",Hillsborough - Black/Chocolate,$19.95
https://www.glassesshop.com/eyeglasses/fp0611,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201703/58dcb60839138.jpg",Sudbury - Black,"
                                        "
https://www.glassesshop.com/eyeglasses/fp1649,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201908/5d4d18d0e18b7.jpg",Owen - Blue/Crystal,$19.95
https://www.glassesshop.com/eyeglasses/fp1364,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201808/5b873cb01e9f7.jpg",Evansville - Blue,$19.95
https://www.glassesshop.com/eyeglasses/fp1409,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201710/59e4597b52b63.jpg",Kelowna - Brown,$19.95
https://www.glassesshop.com/eyeglasses/sup0658,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201905/5ccf9668d1b8c.jpg",Kerlins - Multicolor,$29.95
https://www.glassesshop.com/eyeglasses/fp1718,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202001/5e23b621cdd27.jpg",Jean - Tortoise,$19.95
https://www.glassesshop.com/eyeglasses/fp0985,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201703/58dcb61d82aea.jpg",Callan - Black,$19.95
https://www.glassesshop.com/eyeglasses/fz1089,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201710/59e01c51ef38a.jpg",Mandy - Tortoise,$29.95
https://www.glassesshop.com/eyeglasses/sm0787,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201811/5bff5bf283882.jpg",Darcy - Black,$19.95
https://www.glassesshop.com/eyeglasses/fp1829,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201904/5cb69b422b034.jpg",Averies - Blue,$19.95
https://www.glassesshop.com/eyeglasses/fz1298,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201901/5c3403881d955.jpg",Hume - Brown/Crystal,$29.95
https://www.glassesshop.com/eyeglasses/fp1763,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201904/5ca2bda91b3a0.jpg",Arlene - Crystal/Tortoise,$24.95
https://www.glassesshop.com/eyeglasses/fp1843,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201904/5cb69b51374f0.jpg",Butler - Gray,$19.95
https://www.glassesshop.com/eyeglasses/rm0247,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201703/58c7556ccda85.jpg",Terre - Golden,$32.95
https://www.glassesshop.com/eyeglasses/fp1830,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201904/5cb69b4231106.jpg",Averies - Mblack,$19.95
https://www.glassesshop.com/eyeglasses/fz1090,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201710/59e01c58d5a53.jpg",Mandy - Black,$29.95
https://www.glassesshop.com/eyeglasses/fz0981,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201704/58f85d7927324.jpg",Miami - Tortoise,$29.95
https://www.glassesshop.com/eyeglasses/fp1762,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201808/5b7e0ee291eff.jpg",Arlene - Black,$24.95
https://www.glassesshop.com/eyeglasses/fp1694,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201805/5b03be967b506.jpg",Lexingto - Clear Pattern,$19.95
https://www.glassesshop.com/eyeglasses/fp1774,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201809/5bac31dd1cca8.jpg",Winchester - Black,$19.95
https://www.glassesshop.com/eyeglasses/fz1279,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201810/5bbc50f665fff.jpg",Ezekiel - Blue,$29.95
https://www.glassesshop.com/eyeglasses/fp1650,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201805/5afe7ec7e357d.jpg",Owen - Black/Crystal,$19.95
https://www.glassesshop.com/eyeglasses/fp1437,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201711/59fd64661a767.jpg",Prince - Black/Red,$19.95
https://www.glassesshop.com/eyeglasses/fp1697,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201805/5b03beaa13479.jpg",Novia - Black/Crystal,$19.95
https://www.glassesshop.com/eyeglasses/fp1646,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201805/5afe7ea43b647.jpg",Angel  Wayframe - Black,$19.95
https://www.glassesshop.com/eyeglasses/fp1864,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201904/5cc16d55620ea.jpg",Arad - Mblack/Pink,$29.95
https://www.glassesshop.com/eyeglasses/fp1566,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201803/5ab495953edf7.jpg",Cooksville - Red,$24.95
https://www.glassesshop.com/eyeglasses/fp1232,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201611/58252d0bc746b.jpg",Trenton - Brown,$19.95
https://www.glassesshop.com/eyeglasses/fp1180,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201805/5afb93dbb0fb9.jpg",Celeste - Black,$19.95
https://www.glassesshop.com/eyeglasses/fz1249,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201810/5bbc4f0f32bee.jpg",Vivian - Black,$29.95
